Question,Answer
What is the largest planet in our solar system?,Earth
"Who wrote the play ""Romeo and Juliet""?",William Shakespeare
What gas do plants absorb during photosynthesis?,Oxygen
"Which country is known as the ""Land of the Rising Sun""?",China
What is the largest mammal on Earth?,Giraffe
Who was the first person to set foot on the moon?,Neil Armstrong
What is the capital of Australia?,Sydney
In which year did World War II end?,1944
What is the chemical symbol for water?,H2O2
Who painted the Mona Lisa?,Vincent van Gogh
